Entity,Code,Year,Mean income or consumption
Bolivia,BOL,2011,18.122355
Bolivia,BOL,2012,18.54862
Bolivia,BOL,2013,20.447641
Bolivia,BOL,2014,20.56035
Bolivia,BOL,2015,19.820759
Bolivia,BOL,2016,18.884657
Bolivia,BOL,2017,19.080784
Bolivia,BOL,2018,18.746983
Bolivia,BOL,2019,19.607672
Bolivia,BOL,2020,19.59431
Bolivia,BOL,2021,19.54969
Bolivia (urban),,1990,11.045098
Bolivia (urban),,1992,9.351043
Bosnia and Herzegovina,BIH,2001,13.474113
Bosnia and Herzegovina,BIH,2004,20.385946
Bosnia and Herzegovina,BIH,2007,22.214685
Bosnia and Herzegovina,BIH,2011,21.184618
Botswana,BWA,1985,4.643052
Botswana,BWA,1993,6.60581
Botswana,BWA,2002,9.558292
Botswana,BWA,2009,11.0097275
Botswana,BWA,2015,8.821087
Brazil,BRA,1981,8.443971
Brazil,BRA,1982,8.605182
Brazil,BRA,1983,7.266533
Brazil,BRA,1984,7.220885
Brazil,BRA,1985,7.619438
Brazil,BRA,1986,13.626885
Brazil,BRA,1987,10.699787
Brazil,BRA,1988,10.548887
Brazil,BRA,1989,12.247324
Brazil,BRA,1990,9.60492
Brazil,BRA,1992,7.647535
Brazil,BRA,1993,9.620529
Brazil,BRA,1995,12.896447
Brazil,BRA,1996,12.966115
Brazil,BRA,1997,12.816409
Brazil,BRA,1998,13.207027
Brazil,BRA,1999,12.385649
Brazil,BRA,2001,13.87427
Brazil,BRA,2002,14.087754
Brazil,BRA,2003,13.399859
Brazil,BRA,2004,13.4673395
Brazil,BRA,2005,14.147952
Brazil,BRA,2006,15.197554
Brazil,BRA,2007,15.714912
Brazil,BRA,2008,16.558107
Brazil,BRA,2009,17.066105
Brazil,BRA,2011,18.371971
Brazil,BRA,2012,19.707026
Brazil,BRA,2013,20.54421
Brazil,BRA,2014,20.974777
Brazil,BRA,2015,20.347132
Brazil,BRA,2016,20.346375
Brazil,BRA,2017,20.329958
Brazil,BRA,2018,21.02363
Brazil,BRA,2019,21.11513
Brazil,BRA,2020,21.037209
Brazil,BRA,2021,19.177967
Bulgaria,BGR,1989,25.274422
Bulgaria,BGR,1992,21.488544
Bulgaria,BGR,1994,14.590321
Bulgaria,BGR,1995,13.510399
Bulgaria,BGR,1997,7.594035
Bulgaria,BGR,2001,10.723046
Bulgaria,BGR,2003,10.043354
Bulgaria,BGR,2006,11.189068
Bulgaria,BGR,2007,13.376852
Bulgaria,BGR,2008,17.413115
Bulgaria,BGR,2009,18.170862
Bulgaria,BGR,2010,17.400627
Bulgaria,BGR,2011,16.122835
Bulgaria,BGR,2012,16.949432
Bulgaria,BGR,2013,18.926699
Bulgaria,BGR,2014,20.17313
Bulgaria,BGR,2015,19.253794
Bulgaria,BGR,2016,23.008419
Bulgaria,BGR,2017,22.896029
Bulgaria,BGR,2018,26.54958
Bulgaria,BGR,2019,27.429432
Bulgaria,BGR,2020,30.879648
Burkina Faso,BFA,1994,1.5955777
Burkina Faso,BFA,1998,1.9277922
Burkina Faso,BFA,2003,2.8071191
Burkina Faso,BFA,2009,2.8374054
Burkina Faso,BFA,2014,3.2779927
Burkina Faso,BFA,2018,4.284381
Burundi,BDI,1992,1.8034868
Burundi,BDI,1998,1.654042
Burundi,BDI,2006,2.0097106
Burundi,BDI,2013,2.2902756
Cameroon,CMR,1996,3.3049664
Cameroon,CMR,2001,4.6777472
Cameroon,CMR,2007,4.4197073
Cameroon,CMR,2014,5.7528977
Canada,CAN,1971,32.20183
Canada,CAN,1973,36.15267
Canada,CAN,1975,40.332813
Canada,CAN,1977,42.65205
Canada,CAN,1979,44.251724
Canada,CAN,1981,46.46929
Canada,CAN,1982,45.547375
Canada,CAN,1984,45.622322
Canada,CAN,1985,46.853985
Canada,CAN,1986,46.33336
Canada,CAN,1987,47.333035
Canada,CAN,1988,48.494297
Canada,CAN,1989,49.22023
Canada,CAN,1990,48.96682
Canada,CAN,1991,47.396507
Canada,CAN,1992,47.912735
Canada,CAN,1993,46.445942
Canada,CAN,1994,47.435783
Canada,CAN,1995,47.309605
Canada,CAN,1996,45.49262
Canada,CAN,1997,46.229836
Canada,CAN,1998,47.90685
Canada,CAN,1999,49.120377
Canada,CAN,2000,50.680656
Canada,CAN,2001,52.60716
Canada,CAN,2002,53.05956
Canada,CAN,2003,53.136894
Canada,CAN,2004,54.325954
Canada,CAN,2005,55.64778
Canada,CAN,2006,57.229618
Canada,CAN,2007,59.492874
Canada,CAN,2008,60.542507
Canada,CAN,2009,60.82538
Canada,CAN,2010,60.810352
Canada,CAN,2011,61.146698
Canada,CAN,2012,61.781475
Canada,CAN,2013,62.970146
Canada,CAN,2014,63.24268
Canada,CAN,2015,63.739998
Canada,CAN,2016,63.1935
Canada,CAN,2017,65.49503
Canada,CAN,2018,65.73783
Canada,CAN,2019,65.73275
Cape Verde,CPV,2001,7.3960323
Cape Verde,CPV,2007,8.257052
Cape Verde,CPV,2015,9.503321
Central African Republic,CAF,1992,1.4671625
Central African Republic,CAF,2008,3.0385413
Central African Republic,CAF,2021,2.2406652
Chad,TCD,2003,2.5097342
Chad,TCD,2011,3.811284
Chad,TCD,2018,3.813032
Chile,CHL,1987,9.771472
Chile,CHL,1990,11.670218
Chile,CHL,1992,12.438395
Chile,CHL,1994,13.954685
Chile,CHL,1996,15.108896
Chile,CHL,1998,16.202719
Chile,CHL,2000,13.955496
Chile,CHL,2003,13.741859
Chile,CHL,2006,15.432316
Chile,CHL,2009,16.551552
Chile,CHL,2011,17.844309
Chile,CHL,2013,21.51965
Chile,CHL,2015,22.525043
Chile,CHL,2017,25.014723
Chile,CHL,2020,25.487513
China,CHN,1981,1.1785375
China,CHN,1984,1.5651827
China,CHN,1987,1.9211055
China,CHN,1990,1.9003342
China,CHN,1993,2.2137003
China,CHN,1996,2.8028996
China,CHN,1999,3.0812654
China,CHN,2002,3.9111302
China,CHN,2005,5.0867834
China,CHN,2008,6.264327
China,CHN,2010,7.361189
China,CHN,2011,7.897014
China,CHN,2012,8.626949
China,CHN,2013,9.704089
China,CHN,2014,10.45436
China,CHN,2015,11.190932
China,CHN,2016,11.928446
China,CHN,2017,12.597817
China,CHN,2018,13.398591
China,CHN,2019,14.174434
China,CHN,2020,13.622097
China (rural),,1981,0.9969742
China (rural),,1984,1.3905841
China (rural),,1987,1.6902701
China (rural),,1990,1.6177595
China (rural),,1993,1.7488512
China (rural),,1996,2.2832522
China (rural),,1999,2.2928724
China (rural),,2002,2.657435
China (rural),,2005,3.4020488
China (rural),,2008,3.9276118
China (rural),,2010,4.465902
China (rural),,2011,4.8260913
China (rural),,2012,5.3273973
China (rural),,2013,6.413087
China (rural),,2014,7.017867
China (rural),,2015,7.5723677
China (rural),,2016,8.043923
China (rural),,2017,8.587985
China (rural),,2018,9.309295
China (rural),,2019,9.915923
China (rural),,2020,9.904616
China (urban),,1981,1.8994659
China (urban),,1984,2.1769583
China (urban),,1987,2.641816
China (urban),,1990,2.686418
China (urban),,1993,3.3461063
China (urban),,1996,3.9114242
China (urban),,1999,4.5541463
China (urban),,2002,5.9201427
China (urban),,2005,7.3640795
China (urban),,2008,8.948594
China (urban),,2010,10.347523
China (urban),,2011,10.905803
China (urban),,2012,11.701495
China (urban),,2013,12.621002
China (urban),,2014,13.351366
China (urban),,2015,14.092303
China (urban),,2016,14.890585
China (urban),,2017,15.506261
China (urban),,2018,16.222494
China (urban),,2019,16.977192
China (urban),,2020,15.956385
Colombia,COL,1992,10.352359
Colombia,COL,1996,9.392624
Colombia,COL,1999,8.983805
Colombia,COL,2000,10.018681
Colombia,COL,2001,8.348313
Colombia,COL,2002,10.531292
Colombia,COL,2003,9.989583
Colombia,COL,2004,10.593353
Colombia,COL,2005,11.168692
Colombia,COL,2008,12.635402
Colombia,COL,2009,12.744092
Colombia,COL,2010,13.765084
Colombia,COL,2011,14.28252
Colombia,COL,2012,14.482073
Colombia,COL,2013,15.206055
Colombia,COL,2014,15.92209
Colombia,COL,2015,15.590024
Colombia,COL,2016,15.361946
Colombia,COL,2017,15.246944
Colombia,COL,2018,15.505637
Colombia,COL,2019,15.542431
Colombia,COL,2020,13.626631
Colombia,COL,2021,14.160044
Colombia (urban),,1980,9.966086
Colombia (urban),,1988,10.3372345
Colombia (urban),,1989,10.280384
Colombia (urban),,1991,10.452702
Comoros,COM,2004,8.687198
Comoros,COM,2014,6.4239483
Congo,COG,2005,3.3899314
Congo,COG,2011,4.5914974
Costa Rica,CRI,1981,5.9400826
Costa Rica,CRI,1986,6.152059
Costa Rica,CRI,1989,9.903696
Costa Rica,CRI,1990,10.218441
Costa Rica,CRI,1991,9.3725395
Costa Rica,CRI,1992,9.958617
Costa Rica,CRI,1993,11.537652
Costa Rica,CRI,1994,13.033067
Costa Rica,CRI,1995,12.434427
Costa Rica,CRI,1996,11.781598
Costa Rica,CRI,1997,12.430808
Costa Rica,CRI,1998,13.969757
Costa Rica,CRI,1999,13.608899
Costa Rica,CRI,2000,13.4951315
Costa Rica,CRI,2001,18.394955
Costa Rica,CRI,2002,18.694384
Costa Rica,CRI,2003,18.323336
Costa Rica,CRI,2004,17.128424
Costa Rica,CRI,2005,17.804161
Costa Rica,CRI,2006,18.531052
Costa Rica,CRI,2007,20.632092
Costa Rica,CRI,2008,20.777502
Costa Rica,CRI,2009,22.711514
Costa Rica,CRI,2010,23.181345
Costa Rica,CRI,2011,23.912104
Costa Rica,CRI,2012,24.698944
Costa Rica,CRI,2013,25.4574
Costa Rica,CRI,2014,24.876719
Costa Rica,CRI,2015,24.893183
Costa Rica,CRI,2016,25.845207
Costa Rica,CRI,2017,26.256916
Costa Rica,CRI,2018,25.644619
Costa Rica,CRI,2019,25.530893
Costa Rica,CRI,2020,22.147285
Costa Rica,CRI,2021,25.183813
Costa Rica,CRI,2022,24.463997
Cote d'Ivoire,CIV,1985,8.9789715
Cote d'Ivoire,CIV,1986,7.44324
Cote d'Ivoire,CIV,1987,6.802782
Cote d'Ivoire,CIV,1988,5.3753567
Cote d'Ivoire,CIV,1992,4.3339133
Cote d'Ivoire,CIV,1995,4.503448
Cote d'Ivoire,CIV,1998,3.9124072
Cote d'Ivoire,CIV,2002,4.160559
Cote d'Ivoire,CIV,2008,3.9919024
Cote d'Ivoire,CIV,2015,3.929645
Cote d'Ivoire,CIV,2018,5.6598806
Croatia,HRV,1998,39.06752
Croatia,HRV,1999,19.642485
Croatia,HRV,2000,22.081154
Croatia,HRV,2001,20.841942
Croatia,HRV,2004,32.674103
Croatia,HRV,2008,32.30419
Croatia,HRV,2009,31.78586
Croatia,HRV,2010,26.60446
Croatia,HRV,2011,21.76985
Croatia,HRV,2012,20.69398
Croatia,HRV,2013,20.381931
Croatia,HRV,2014,21.509981
Croatia,HRV,2015,22.447786
Croatia,HRV,2016,24.24822
Croatia,HRV,2017,25.510685
Croatia,HRV,2018,27.394676
Croatia,HRV,2019,29.081573
Croatia,HRV,2020,30.291763
Cyprus,CYP,2004,44.923542
Cyprus,CYP,2005,47.965797
Cyprus,CYP,2006,52.688217
Cyprus,CYP,2007,52.78881
Cyprus,CYP,2008,52.38207
Cyprus,CYP,2009,51.811222
Cyprus,CYP,2010,52.62469
Cyprus,CYP,2011,52.382618
Cyprus,CYP,2012,49.471622
Cyprus,CYP,2013,47.481693
Cyprus,CYP,2014,44.252575
Cyprus,CYP,2015,45.0893
Cyprus,CYP,2016,46.596825
Cyprus,CYP,2017,47.56427
Cyprus,CYP,2018,51.212486
Cyprus,CYP,2019,51.574562
Cyprus,CYP,2020,52.928314
Czechia,CZE,1992,18.431473
Czechia,CZE,1993,19.970184
Czechia,CZE,1996,22.608212
Czechia,CZE,2002,24.971949
Czechia,CZE,2004,26.875917
Czechia,CZE,2005,27.595201
Czechia,CZE,2006,29.117022
Czechia,CZE,2007,30.65649
Czechia,CZE,2008,31.41051
Czechia,CZE,2009,31.865326
Czechia,CZE,2010,31.808458
Czechia,CZE,2011,31.774588
Czechia,CZE,2012,31.239332
Czechia,CZE,2013,31.44628
Czechia,CZE,2014,32.180218
Czechia,CZE,2015,33.508007
Czechia,CZE,2016,34.751205
Czechia,CZE,2017,35.919323
Czechia,CZE,2018,37.61909
Czechia,CZE,2019,39.36649
Czechia,CZE,2020,40.036655
Democratic Republic of Congo,COD,2004,1.0010916
Democratic Republic of Congo,COD,2012,2.0246513
Denmark,DNK,1987,48.364933
Denmark,DNK,1992,47.542133
Denmark,DNK,1995,49.27404
Denmark,DNK,2000,52.6258
Denmark,DNK,2003,51.409054
Denmark,DNK,2004,52.30966
Denmark,DNK,2005,52.912163
Denmark,DNK,2006,54.57902
Denmark,DNK,2007,55.58182
Denmark,DNK,2008,54.99869
Denmark,DNK,2009,55.802723
Denmark,DNK,2010,58.569775
Denmark,DNK,2011,57.63594
Denmark,DNK,2012,57.292477
Denmark,DNK,2013,58.687824
Denmark,DNK,2014,59.092346
Denmark,DNK,2015,59.663933
Denmark,DNK,2016,60.667915
Denmark,DNK,2017,62.136517
Denmark,DNK,2018,62.739765
Denmark,DNK,2019,62.736362
Denmark,DNK,2020,64.51866
Djibouti,DJI,2002,4.727462
Djibouti,DJI,2012,5.8090897
Djibouti,DJI,2013,5.188474
Djibouti,DJI,2017,5.4438024
Dominican Republic,DOM,1986,13.20192
Dominican Republic,DOM,1989,7.8416915
Dominican Republic,DOM,1992,10.692696
Dominican Republic,DOM,1996,11.832832
Dominican Republic,DOM,1997,12.958981
Dominican Republic,DOM,2000,13.943539
Dominican Republic,DOM,2001,13.393599
Dominican Republic,DOM,2002,13.004036
Dominican Republic,DOM,2003,11.595251
Dominican Republic,DOM,2004,9.876797
Dominican Republic,DOM,2005,11.402681
Dominican Republic,DOM,2006,12.998945
Dominican Republic,DOM,2007,11.89717
Dominican Republic,DOM,2008,11.480385
Dominican Republic,DOM,2009,12.40651
Dominican Republic,DOM,2010,12.230481
Dominican Republic,DOM,2011,12.691668
Dominican Republic,DOM,2012,12.1348915
Dominican Republic,DOM,2013,12.818438
Dominican Republic,DOM,2014,13.289036
Dominican Republic,DOM,2015,14.589207
Dominican Republic,DOM,2016,15.629209
Dominican Republic,DOM,2017,14.788201
Dominican Republic,DOM,2018,16.232817
Dominican Republic,DOM,2019,16.469265
Dominican Republic,DOM,2020,14.529316
Dominican Republic,DOM,2021,14.043611
East Asia and Pacific (PIP),,1990,2.3791976
East Asia and Pacific (PIP),,1991,2.4622076
East Asia and Pacific (PIP),,1992,2.590178
East Asia and Pacific (PIP),,1993,2.7083094
East Asia and Pacific (PIP),,1994,2.8920484
East Asia and Pacific (PIP),,1995,3.0938787
East Asia and Pacific (PIP),,1996,3.322204
East Asia and Pacific (PIP),,1997,3.3991358
East Asia and Pacific (PIP),,1998,3.3701699
East Asia and Pacific (PIP),,1999,3.529926
East Asia and Pacific (PIP),,2000,3.7537072
East Asia and Pacific (PIP),,2001,3.9499712
East Asia and Pacific (PIP),,2002,4.2886877
East Asia and Pacific (PIP),,2003,4.5426116
East Asia and Pacific (PIP),,2004,4.8609138
East Asia and Pacific (PIP),,2005,5.3207955
East Asia and Pacific (PIP),,2006,5.572552
East Asia and Pacific (PIP),,2007,6.0013804
East Asia and Pacific (PIP),,2008,6.318335
East Asia and Pacific (PIP),,2009,6.735242
East Asia and Pacific (PIP),,2010,7.4259844
East Asia and Pacific (PIP),,2011,7.9277444
East Asia and Pacific (PIP),,2012,8.534588
East Asia and Pacific (PIP),,2013,9.3783045
East Asia and Pacific (PIP),,2014,9.963851
East Asia and Pacific (PIP),,2015,10.605862
East Asia and Pacific (PIP),,2016,11.196441
East Asia and Pacific (PIP),,2017,11.760833
East Asia and Pacific (PIP),,2018,12.404225
East Asia and Pacific (PIP),,2019,13.043666
East Asia and Pacific (PIP),,2020,12.632535
East Timor,TLS,2001,3.1812658
East Timor,TLS,2007,2.7968318
East Timor,TLS,2014,3.4258578
Eastern and Southern Africa (PIP),,1993,3.4670951
Eastern and Southern Africa (PIP),,1994,3.3834345
Eastern and Southern Africa (PIP),,1995,3.4542174
Eastern and Southern Africa (PIP),,1996,3.5362647
Eastern and Southern Africa (PIP),,1998,3.472521
Eastern and Southern Africa (PIP),,1999,3.4053874
Eastern and Southern Africa (PIP),,2000,3.3618407
Eastern and Southern Africa (PIP),,2001,3.3491182
Eastern and Southern Africa (PIP),,2002,3.371902
Eastern and Southern Africa (PIP),,2003,3.3998349
Eastern and Southern Africa (PIP),,2004,3.5919664
Eastern and Southern Africa (PIP),,2005,3.7852967
Eastern and Southern Africa (PIP),,2006,3.9682574
Eastern and Southern Africa (PIP),,2007,4.1509147
Eastern and Southern Africa (PIP),,2008,4.1685443
Eastern and Southern Africa (PIP),,2009,4.139917
Eastern and Southern Africa (PIP),,2010,4.2751718
Eastern and Southern Africa (PIP),,2011,4.337515
Eastern and Southern Africa (PIP),,2012,4.3493896
Eastern and Southern Africa (PIP),,2013,4.3766522
Eastern and Southern Africa (PIP),,2014,4.3835497
Eastern and Southern Africa (PIP),,2015,4.3512683
Eastern and Southern Africa (PIP),,2016,4.3227363
Eastern and Southern Africa (PIP),,2017,4.30143
Eastern and Southern Africa (PIP),,2018,4.299783
Ecuador,ECU,1994,8.29242
Ecuador,ECU,1999,8.50119
Ecuador,ECU,2000,6.542927
Ecuador,ECU,2003,9.734901
Ecuador,ECU,2004,9.58733
Ecuador,ECU,2005,11.362323
Ecuador,ECU,2006,12.50475
Ecuador,ECU,2007,13.178305
Ecuador,ECU,2008,12.5959
Ecuador,ECU,2009,12.136972
Ecuador,ECU,2010,13.432923
Ecuador,ECU,2011,13.8755
Ecuador,ECU,2012,14.783346
Ecuador,ECU,2013,15.29881
Ecuador,ECU,2014,15.4710245
Ecuador,ECU,2015,15.580119
Ecuador,ECU,2016,15.25878
Ecuador,ECU,2017,15.694721
Ecuador,ECU,2018,15.658378
Ecuador,ECU,2019,15.380205
Ecuador,ECU,2020,13.677037
Ecuador,ECU,2021,14.683216
Ecuador,ECU,2022,15.202879
Ecuador (urban),,1987,8.380226
Ecuador (urban),,1995,8.200395
Ecuador (urban),,1998,7.7828665
Egypt,EGY,1990,5.539277
Egypt,EGY,1995,5.363063
Egypt,EGY,1999,6.657772
Egypt,EGY,2004,5.864025
Egypt,EGY,2008,5.899007
Egypt,EGY,2010,6.5465035
Egypt,EGY,2012,6.689095
Egypt,EGY,2015,7.2488804
Egypt,EGY,2017,6.300635
Egypt,EGY,2019,6.7583957
El Salvador,SLV,1989,7.9128075
El Salvador,SLV,1991,7.710024
El Salvador,SLV,1995,8.885468
El Salvador,SLV,1996,8.858798
El Salvador,SLV,1998,8.993804
El Salvador,SLV,1999,9.390126
El Salvador,SLV,2000,10.629056
El Salvador,SLV,2001,10.175318
El Salvador,SLV,2002,10.262623
El Salvador,SLV,2003,9.495242
El Salvador,SLV,2004,9.768703
El Salvador,SLV,2005,9.938346
El Salvador,SLV,2006,9.909669
El Salvador,SLV,2007,10.604968
El Salvador,SLV,2008,10.229619
El Salvador,SLV,2009,9.877291
El Salvador,SLV,2010,9.777039
El Salvador,SLV,2011,9.545156
El Salvador,SLV,2012,9.877429
El Salvador,SLV,2013,10.895258
El Salvador,SLV,2014,10.63308
El Salvador,SLV,2015,10.940506
El Salvador,SLV,2016,11.026738
El Salvador,SLV,2017,11.070996
El Salvador,SLV,2018,11.906972
El Salvador,SLV,2019,12.951726
El Salvador,SLV,2021,13.018641
El Salvador,SLV,2022,13.102627
Estonia,EST,1993,12.440412
Estonia,EST,1995,10.2275505
Estonia,EST,1998,13.157552
Estonia,EST,2000,12.078439
Estonia,EST,2001,11.727027
Estonia,EST,2002,11.984227
Estonia,EST,2003,12.146917
Estonia,EST,2004,13.967663
Estonia,EST,2005,19.75359
Estonia,EST,2006,23.001495
Estonia,EST,2007,25.883123
Estonia,EST,2008,26.773018
Estonia,EST,2009,25.207632
Estonia,EST,2010,23.695606
Estonia,EST,2011,24.56063
Estonia,EST,2012,25.974396
Estonia,EST,2013,28.28964
Estonia,EST,2014,30.563866
Estonia,EST,2015,32.68025
Estonia,EST,2016,34.75534
Estonia,EST,2017,36.74732
Estonia,EST,2018,38.945698
Estonia,EST,2019,41.006695
Estonia,EST,2020,42.843025
Eswatini,SWZ,1994,1.4823712
Eswatini,SWZ,2000,3.5263317
Eswatini,SWZ,2009,3.7295449
Eswatini,SWZ,2016,5.6323137
Ethiopia,ETH,1995,2.3790367
Ethiopia,ETH,1999,2.3387635
Ethiopia,ETH,2004,3.122983
Ethiopia,ETH,2010,3.3834558
Ethiopia,ETH,2015,3.7389858
Ethiopia (rural),,1981,2.0188127
Europe and Central Asia (PIP),,1990,14.890733
Europe and Central Asia (PIP),,1991,13.671368
Europe and Central Asia (PIP),,1992,12.215481
Europe and Central Asia (PIP),,1993,10.794691
Europe and Central Asia (PIP),,1994,10.246874
